iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
134	4	24	1	4	2	7	9	PASS	639	189	384	768	0.19	122000	16
135	4	24	1	8	2	7	9	PASS	1023	189	384	1536	0.3	122000	19
136	4	24	1	16	2	7	9	PASS	1854	315	768	3072	0.28	219000	32
137	4	24	1	32	2	7	9	PASS	3516	567	1536	6144	0.27	413000	57
138	4	24	1	64	2	7	9	PASS	6840	1071	3072	12288	0.26	801000	110
139	4	24	1	128	2	7	9	PASS	13425	1953	5760	24576	0.27	1480000	208
140	4	24	1	256	2	7	9	PASS	26595	3717	11136	49152	0.28	2838000	422
141	4	24	1	512	2	7	9	PASS	52935	7245	21888	98304	0.29	5554000	875
142	4	24	1	1024	2	7	9	PASS	105678	14427	43776	196608	0.29	11083000	1773
143	4	24	1	1	4	7	9	PASS	543	189	768	192	0.13	122000	18
144	4	24	1	2	4	7	9	PASS	639	189	768	384	0.19	122000	17
145	4	24	1	4	4	7	9	PASS	831	189	768	768	0.31	122000	19
146	4	24	1	8	4	7	9	PASS	1215	189	768	1536	0.54	122000	23
147	4	24	1	16	4	7	9	PASS	2046	315	1536	3072	0.52	219000	38
148	4	24	1	32	4	7	9	PASS	3708	567	3072	6144	0.52	413000	67
149	4	24	1	64	4	7	9	PASS	7032	1071	6144	12288	0.51	801000	128
150	4	24	1	128	4	7	9	PASS	13617	1953	11520	24576	0.54	1480000	248
151	4	24	1	256	4	7	9	PASS	26787	3717	22272	49152	0.56	2838000	492
152	4	24	1	512	4	7	9	PASS	53127	7245	43776	98304	0.57	5554000	1002
153	4	24	1	1024	4	7	9	PASS	105870	14427	87552	196608	0.57	11083000	1999
154	4	24	1	1	8	7	9	PASS	990	315	1536	288	0.094	219000	30
155	4	24	1	2	8	7	9	PASS	1086	315	1536	576	0.15	219000	29
156	4	24	1	4	8	7	9	PASS	1278	315	1536	1152	0.27	219000	31
157	4	24	1	8	8	7	9	PASS	1662	315	1536	2304	0.51	219000	36
158	4	24	1	16	8	7	9	PASS	2556	567	3072	4608	0.51	413000	60
159	4	24	1	32	8	7	9	PASS	4344	1071	6144	9216	0.51	801000	107
160	4	24	1	64	8	7	9	PASS	7920	2079	12288	18432	0.51	1577000	203
161	4	24	1	128	8	7	9	PASS	14946	3843	23040	36864	0.54	2935000	394
162	4	24	1	256	8	7	9	PASS	28998	7371	44544	73728	0.56	5651000	770
163	4	24	1	512	8	7	9	PASS	57102	14427	87552	147456	0.57	11083000	1529
164	4	24	1	1024	8	7	9	PASS	113436	28791	175104	294912	0.57	22141000	3067
165	4	24	1	1	16	7	9	PASS	1821	441	3072	384	0.11	316000	52
166	4	24	1	2	16	7	9	PASS	1917	441	3072	768	0.19	316000	47
167	4	24	1	4	16	7	9	PASS	2109	441	3072	1536	0.35	316000	50
