ifmap_h,ifmap_w,kernel,c_in,f_out,arch_filter_count,arch_channel_count,valid,dram,weight,psum,ifmap,pe_util,latency,sim_time
81,81,3,3,128,32,18,PASS,823139,9792,4075136,98415,0.73,52746000,20107
80,80,3,8,2,12,27,PASS,64340,2268,87048,102400,0.16,19406000,2143
30,30,3,256,64,12,27,PASS,447760,334692,9296896,1612800,0.87,469636000,41274
88,88,3,64,4,12,27,PASS,532328,14580,1361552,991232,0.32,170780000,19145
12321,1,1,4,64,9,9,PASS,838476,1377,1577088,443556,0.4,98601000,16266
80,80,3,128,4,12,27,PASS,857468,28188,2170896,1638400,0.33,275806000,30618
187,187,3,1,8,12,27,PASS,309093,972,827320,69938,0.22,35369000,7404
13689,1,1,8,1,12,27,PASS,123525,972,27378,219024,0.026,13733000,2345
160,160,3,3,32,9,9,PASS,876620,2025,5652608,384000,0.89,307656000,24645
43,43,1,8,512,12,27,PASS,975412,28188,1893376,650848,0.29,79593000,20413
70,70,3,2,1,12,27,PASS,14748,972,14144,19600,0.082,5066000,558
42025,1,1,1,8,32,18,PASS,378801,1728,672400,84050,0.014,42060000,8600
23,23,3,4,32,9,9,PASS,17524,2673,137760,10580,0.89,8686000,527
29,29,3,64,4,12,27,PASS,63868,14580,140724,107648,0.32,18796000,1975
186,186,3,2,2,9,9,PASS,137066,405,341504,138384,0.23,69600000,3934
1849,1,1,16,8,32,18,PASS,44952,1728,29584,59168,0.23,1884000,819
57,57,1,32,16,9,9,PASS,156600,1377,415872,311904,0.79,26025000,3154
35,35,3,1,4,9,9,PASS,5662,243,13596,2450,0.48,1321000,182
35,35,3,16,128,12,27,PASS,180376,43092,1913472,235200,0.85,81596000,9127
4489,1,1,3,4,9,9,PASS,31504,243,35912,26934,0.15,4515000,569
50,50,3,3,16,32,18,PASS,45516,2880,190464,15000,0.38,5136000,1382
54,54,1,64,2,9,9,PASS,193104,1377,93312,373248,0.2,23361000,3344
5184,1,1,128,8,9,9,PASS,706239,2511,1244160,1327104,0.84,77800000,14193
95,95,3,32,32,12,27,PASS,576260,21708,6496608,1155200,0.85,298361000,33666
34,34,3,256,2,12,27,PASS,325848,56052,376320,591872,0.17,100360000,10673
25,25,3,16,2,32,18,PASS,15666,9792,19458,20000,0.072,5146000,623
160,160,1,16,16,32,18,PASS,819776,1728,819200,819200,0.44,25635000,15344
14,14,1,64,256,12,27,PASS,84104,43092,301056,288512,0.75,13045000,1891
96,96,3,32,64,12,27,PASS,881800,43092,13271296,2064384,0.85,609124000,63928
114,114,3,64,2,9,9,PASS,862016,10449,3293696,1663488,0.22,832628000,33888
142,142,3,8,2,32,18,PASS,202816,5184,357280,322624,0.066,80996000,9052
45,45,3,1,512,12,27,PASS,962645,28188,2928128,89100,0.33,87611000,23085
161,161,3,8,8,12,27,PASS,410588,2268,1431000,414736,0.59,78131000,12420
40,40,1,16,64,9,9,PASS,129296,2673,409600,230400,0.79,25641000,2843
32400,1,1,1,2,32,18,PASS,97776,1728,129600,64800,0.0038,32435000,3457
17,17,3,256,256,32,18,PASS,721408,1180224,16769280,665856,0.98,306226000,41029
86,86,1,8,16,9,9,PASS,177666,405,236672,177504,0.79,14819000,3076
137,137,3,2,8,12,27,PASS,183662,972,441720,75076,0.44,19069000,4276
14641,1,1,3,32,32,18,PASS,513011,1728,937024,87846,0.16,14676000,10148
23,23,3,3,1,12,27,PASS,2352,972,1407,3174,0.16,601000,212
36,36,1,64,16,12,27,PASS,105624,4212,124416,248832,0.52,7825000,2080
22,22,3,128,16,32,18,PASS,105216,74304,907520,123904,0.49,31676000,4182
64,64,3,2,1,9,9,PASS,12198,405,19716,16384,0.13,8356000,452
169,169,3,32,8,9,9,PASS,1139656,5265,14673288,1827904,0.89,914626000,50187
102,102,3,2,64,12,27,PASS,662752,4212,1945600,145656,0.58,62704000,15945
169,1,1,1,1,12,27,PASS,662,972,338,338,0.082,213000,28
58,58,1,8,256,32,18,PASS,892704,9792,1722368,242208,0.43,26954000,17474
16384,1,1,16,16,32,18,PASS,524864,1728,524288,524288,0.44,16419000,10269
57,57,3,1,32,9,9,PASS,100373,729,297440,16245,0.89,13166000,2240
30,30,3,256,32,12,27,PASS,339080,167508,4648448,921600,0.87,234856000,22966
15876,1,1,2,2,9,9,PASS,63585,243,63504,63504,0.05,15902000,1314
206,206,1,1,2,12,27,PASS,127632,972,169744,84872,0.0065,42480000,3719
6561,1,1,2,16,12,27,PASS,118746,1620,209952,39366,0.051,13167000,2449
17,17,3,512,128,9,9,PASS,798848,1244241,33452160,2367488,0.95,2296370000,77040
147,147,1,8,16,9,9,PASS,518778,405,691488,518616,0.79,43245000,9719
140,140,3,1,8,32,18,PASS,172528,1728,461472,39200,0.14,19906000,4472
84,84,3,2,2,12,27,PASS,27884,972,41000,28224,0.13,7250000,988
1936,1,1,1,256,32,18,PASS,502160,9792,991232,17424,0.055,15530000,9953
133,133,3,8,16,32,18,PASS,418392,5184,2504720,283024,0.49,71078000,13962
152,152,1,16,32,9,9,PASS,1109640,1377,2957312,1848320,0.79,184865000,24185
191,191,3,1,16,12,27,PASS,608665,1620,1726704,109443,0.22,73380000,14896
48,48,1,1,128,32,18,PASS,299520,5184,589824,11520,0.055,9254000,5952
14,14,3,2,256,12,27,PASS,44384,14580,122880,9016,0.63,4576000,1145
147,147,3,8,2,9,9,PASS,215570,1377,724130,345744,0.22,173262000,7645
51,51,3,256,32,12,27,PASS,826280,167508,13831328,2663424,0.87,673756000,66368
1444,1,1,3,2,32,18,PASS,7796,1728,5776,8664,0.018,1479000,282
15,15,3,4,2,32,18,PASS,2390,2880,1898,1800,0.12,516000,174
37249,1,1,4,16,32,18,PASS,745556,1728,1191968,297992,0.11,37284000,15316
102,102,3,16,64,9,9,PASS,816832,20817,21529600,1498176,0.89,1333212000,60344
13,13,3,256,8,12,27,PASS,72096,56052,197736,86528,0.65,15436000,1918
110,110,3,4,1,12,27,PASS,60712,1620,59184,96800,0.064,24456000,2457
529,1,1,128,8,12,27,PASS,73564,3564,42320,135424,0.62,2693000,1381
116,116,3,2,4,9,9,PASS,79058,405,263568,53824,0.45,27180000,2039
139,139,3,4,1,12,27,PASS,96701,1620,94941,154568,0.062,38956000,3767
58,58,3,32,8,32,18,PASS,141952,19008,856576,215296,0.25,54116000,6954
31,31,3,32,16,12,27,PASS,51336,14580,329904,92256,0.64,21440000,2300
29,29,3,2,128,32,18,PASS,97298,5184,293760,8410,0.98,3478000,2116
24,24,1,32,128,32,18,PASS,96768,9792,294912,92160,0.87,4650000,2054
21,21,3,2,2,12,27,PASS,1928,972,2318,1764,0.19,509000,145
92,92,1,4,16,12,27,PASS,169928,1620,270848,101568,0.1,16973000,3518
95,95,3,3,64,9,9,PASS,582555,3969,3946176,243675,0.89,217046000,17125
138,138,3,1,32,9,9,PASS,611240,729,1793024,95220,0.89,76508000,12993
108,108,3,4,4,12,27,PASS,92248,1620,228112,93312,0.23,23580000,2856
157,157,3,1,16,12,27,PASS,409697,1620,1163120,73947,0.22,49648000,10275
484,1,1,128,128,32,18,PASS,142336,37440,991232,309760,0.87,15554000,3889
49,49,1,2,2,9,9,PASS,9685,243,9604,9604,0.052,2427000,198
118,118,3,8,32,32,18,PASS,544288,5184,3934720,222784,0.98,55988000,17077
2401,1,1,64,32,9,9,PASS,233088,5265,1229312,768320,0.79,76889000,6106
289,1,1,3,1,32,18,PASS,1732,1728,578,1734,0.041,324000,134
47,47,1,8,16,32,18,PASS,53592,1728,70688,35344,0.22,2244000,1021
90,90,1,32,8,32,18,PASS,325152,2880,259200,518400,0.22,16236000,6699
5329,1,1,64,32,12,27,PASS,514500,6156,1023168,1364224,0.69,48013000,11706
49,49,3,1,16,12,27,PASS,38393,1620,109040,7203,0.23,4936000,1026
21,21,3,128,16,9,9,PASS,82960,41553,1640080,169344,0.89,115514000,4844
30,30,3,64,1,12,27,PASS,65512,14580,37744,115200,0.084,20096000,1934
183,183,3,2,32,12,27,PASS,1116302,2268,3168224,267912,0.58,100879000,27429
48,48,3,128,8,9,9,PASS,322208,20817,4538912,589824,0.89,296304000,14817
172,172,3,4,2,9,9,PASS,176460,729,525640,236672,0.22,118736000,5734
27,27,3,3,16,32,18,PASS,13339,2880,53200,4374,0.39,1548000,399
54,54,1,4,32,32,18,PASS,105552,1728,186624,23328,0.22,2951000,2067
7569,1,1,64,32,12,27,PASS,729540,6156,1453248,1937664,0.69,68173000,16973
24336,1,1,16,16,9,9,PASS,779076,729,1557504,1168128,0.79,97373000,15725
784,1,1,64,1,32,18,PASS,53264,5184,6272,100352,0.031,3174000,956
160,160,3,8,1,12,27,PASS,230736,2268,176644,409600,0.078,77166000,8196
22,22,3,64,2,32,18,PASS,50208,37440,57120,61952,0.065,15868000,1855
53,53,1,256,32,32,18,PASS,817632,17856,2696640,1438208,0.93,42184000,18755
40,40,3,16,32,32,18,PASS,76416,9792,824448,51200,0.98,12976000,3220
42,42,3,3,64,9,9,PASS,109636,3969,747520,47628,0.89,42676000,3263
126,126,3,64,1,9,9,PASS,1036624,10449,2015248,2032128,0.11,1016972000,39639
25,25,1,3,128,12,27,PASS,85439,7452,160000,22500,0.11,6929000,1742
153,153,3,1,1,9,9,PASS,46291,243,69007,46818,0.12,23741000,1224
34,34,3,128,128,32,18,PASS,426496,295488,17956864,739840,0.98,298580000,44341
157,157,1,2,4,12,27,PASS,148218,972,197192,98596,0.025,24693000,3600
20736,1,1,16,32,32,18,PASS,995904,1728,1327104,663552,0.87,20771000,19358
4225,1,1,8,1,12,27,PASS,38349,972,8450,67600,0.028,4269000,847
3025,1,1,32,1,12,27,PASS,100473,1620,12100,193600,0.052,6095000,1855
30625,1,1,2,4,32,18,PASS,184326,1728,245000,122500,0.014,30660000,4916
199,199,1,1,4,12,27,PASS,198329,972,316808,79202,0.013,39645000,4940
168,168,3,4,4,9,9,PASS,223444,729,1002640,225792,0.45,113288000,6456
189,189,3,2,1,12,27,PASS,106735,972,105655,142884,0.065,36125000,3500
38,38,3,256,32,9,9,PASS,494080,165969,22454784,1848320,0.89,1488988000,56179
30,30,3,1,32,9,9,PASS,26312,729,78848,4500,0.89,3716000,587
77,77,3,64,16,32,18,PASS,487888,37440,6003600,758912,0.49,190218000,29140
55,55,3,4,64,9,9,PASS,194468,5265,1672256,108900,0.89,97246000,6376
2304,1,1,64,1,12,27,PASS,150732,2268,13824,294912,0.068,6958000,2629
91,91,3,64,1,12,27,PASS,545033,14580,364277,1059968,0.082,182600000,19003
195,195,1,4,16,12,27,PASS,761148,1620,1216800,456300,0.099,76095000,16346
177,177,3,4,32,32,18,PASS,1106468,2880,4944800,250632,0.98,63048000,28186
75,75,1,128,1,9,9,PASS,726840,2511,168750,1440000,0.11,84415000,13695
28,28,3,512,32,32,18,PASS,570496,295488,11949184,802816,0.98,203336000,35728
32761,1,1,1,2,9,9,PASS,98364,243,131044,65522,0.025,32787000,2248
2401,1,1,256,2,9,9,PASS,621807,4779,278516,1229312,0.22,69683000,11894
209,209,1,16,1,32,18,PASS,743153,1728,87362,1397792,0.028,43716000,15070
16,16,3,8,128,32,18,PASS,36352,19008,254464,10240,0.98,4304000,1030
107,107,3,3,8,9,9,PASS,122790,567,627480,68694,0.89,34607000,3060
